Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minute
Monday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,,Office areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,20,45
Monday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,,Pedestrian,Female,Under 18,3,Not a Pedestrian,Other,Slight Injury,20,45
Friday,Unknown,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Other,Rollover,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,8,40
Friday,31-50,Male,Writing & reading,5-10yr,Stationwagen,Owner,Above 10yr, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,18,0
Friday,Unknown,Male,Writing & reading,5-10yr,Lorry (41?100Q),Governmental,, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,18,0
Monday,18-30,Male,Junior high school,5-10yr,Automobile,Organization,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Overtaking,Slight Injury,9,40
Monday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,9,40
Wednesday,Unknown,Female,Junior high school,Above 10yr,Pick up upto 10Q,Owner,1-2yr,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,16,50
Wednesday,31-50,Male,Junior high school,5-10yr,Taxi,Owner,Unknown,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,16,50
Monday,Unknown,Male,Junior high school,Above 10yr,,Owner,Unknown,  Recreational areas,Undivided Two way,Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15,50
Thursday,Unknown,Male,Junior high school,2-5yr,Automobile,Governmental,Unknown,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,30
Friday,Over 51,Male,Junior high school,Below 1yr,,Governmental,5-10yrs, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17,40
Friday,18-30,Male,Junior high school,Below 1yr,Long lorry,Owner,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,17,40
Monday,Unknown,Male,Junior high school,5-10yr,Public (12 seats),Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),,Y Shape,Gravel roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17,20
Tuesday,Unknown,Male,Junior high school,2-5yr,Pick up upto 10Q,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,Overturning,Slight Injury,9,20
Tuesday,18-30,Male,Elementary school,Below 1yr,,Governmental,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,9,20
Monday,18-30,Male,Junior high school,2-5yr,Other,Owner,,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,3,0
Tuesday,Unknown,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,,Other,One way,Escarpments,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,16,0
Tuesday,Under 18,Male,High school,Above 10yr,Automobile,Owner,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,16,0
Sunday,31-50,Male,High school,Above 10yr,Pick up upto 10Q,Owner,,  Recreational areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to vehicle,Slight Injury,15,20
Sunday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,15,20
Monday,18-30,Male,Elementary school,1-2yr,Lorry (41?100Q),Owner,,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,8,0
Monday,Under 18,Male,Elementary school,5-10yr,Long lorry,Owner,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Wet or damp,Daylight,Other,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,8,0
Monday,Over 51,Male,Junior high school,5-10yr,Public (> 45 seats),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,13,25
Monday,Over 51,Male,Junior high school,1-2yr,Public (> 45 seats),Governmental,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Getting off,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the left,Slight Injury,13,25
Thursday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17,10
Wednesday,31-50,Male,High school,Above 10yr,Automobile,Owner,Above 10yr, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,19,55
Wednesday,Unknown,Female,,Below 1yr,Automobile,Owner,Above 10yr,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Female,Under 18,3,Not a Pedestrian,Overloading,Slight Injury,19,55
Friday,Unknown,Male,Writing & reading,5-10yr,Other,Owner,Below 1yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Male,Over 51,3,Crossing from driver's nearside,Other,Slight Injury,17,30
Friday,18-30,Male,Above high school,Above 10yr,Public (12 seats),Owner,2-5yrs,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,2,Not a Pedestrian,No priority to vehicle,Slight Injury,17,30
Wednesday,Over 51,Male,High school,Below 1yr,Automobile,Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Pedestrian,Female,Over 51,3,Crossing from driver's nearside,Changing lane to the right,Slight Injury,8,45
Wednesday,Under 18,Male,Junior high school,1-2yr,Stationwagen,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,8,45
Saturday,Unknown,Female,Junior high school,Above 10yr,Automobile,Owner,Below 1yr, Hospital areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,0,30
Saturday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,0,30
Friday,18-30,Male,Junior high school,Above 10yr,Automobile,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,,Pedestrian,Female,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury,16,50
Friday,18-30,Male,Junior high school,No Licence,,Owner,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,16,50
Friday,Unknown,Male,Junior high school,1-2yr,,,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,16,50
Sunday,18-30,Male,Illiterate,1-2yr,Pick up upto 10Q,Governmental,,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,14,0
Sunday,Under 18,Male,Junior high school,Below 1yr,Turbo,Owner,Above 10yr, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Earth roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,14,0
Sunday,18-30,Male,Junior high school,1-2yr,Pick up upto 10Q,,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,14,0
Sunday,Over 51,Male,Junior high school,2-5yr,Other,Owner,,Other,One way,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,4,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,14,0
Friday,31-50,Male,Unknown,5-10yr,Stationwagen,Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,5,3,Not a Pedestrian,Moving Backward,Serious Injury,13,35
Friday,Under 18,Male,Unknown,Above 10yr,Pick up upto 10Q,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,13,35
Tuesday,Unknown,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,Overtaking,Slight Injury,8,20
Monday,Over 51,Male,Elementary school,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Not a Pedestrian,Overloading,Slight Injury,18,20
Monday,31-50,Male,Writing & reading,5-10yr,Automobile,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,18,20
Tuesday,Unknown,Male,,,Automobile,Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,Passenger,Female,Over 51,3,Not a Pedestrian,Improper parking,Slight Injury,11,45
Tuesday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,2-5yrs,Residential areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,5,3,Not a Pedestrian,Other,Slight Injury,11,45
Wednesday,Unknown,Female,Junior high school,Below 1yr,Pick up upto 10Q,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,6,25
Wednesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,6,25
Wednesday,31-50,Male,Elementary school,2-5yr,Public (12 seats),Owner,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Serious Injury,13,55
Wednesday,18-30,Male,Junior high school,2-5yr,Other,Owner,,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Unknown,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overspeed,Serious Injury,13,55
Wednesday,Unknown,Male,Junior high school,2-5yr,Stationwagen,Owner,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,9,30
Wednesday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,9,30
Friday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,13,0
Friday,Unknown,Female,Junior high school,Above 10yr,Lorry (41?100Q),Owner,,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,13,0
Sunday,Over 51,Male,Elementary school,5-10yr,Stationwagen,Owner,2-5yrs,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,1,30
Sunday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,1,30
Sunday,31-50,Male,Junior high school,Above 10yr,Public (> 45 seats),Owner,Above 10yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,1,30
Friday,Over 51,Male,Elementary school,,Automobile,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,8,30
Tuesday,Unknown,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,12,0
Tuesday,31-50,Male,Junior high school,5-10yr,Automobile,Governmental,Below 1yr,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,12,0
Thursday,Under 18,Male,Junior high school,Below 1yr,,Owner,Unknown, Church areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Serious Injury,10,25
Thursday,Over 51,Male,,,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Serious Injury,10,25
Sunday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Female,Over 51,2,Not a Pedestrian,No priority to vehicle,Slight Injury,14,0
Sunday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,,Residential areas,other,Steep grade downward with mountainous terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,14,0
Sunday,31-50,Male,Junior high school,Above 10yr,Stationwagen,Owner,,School areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,14,0
Sunday,31-50,Male,High school,Above 10yr,Public (12 seats),Owner,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,14,0
Tuesday,31-50,Male,Junior high school,Above 10yr,Public (12 seats),Owner,Above 10yr,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,12,15
Tuesday,Unknown,Male,Junior high school,Above 10yr,Automobile,Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17,15
Saturday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),Organization,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,14,30
Saturday,18-30,Male,Junior high school,Above 10yr,Public (12 seats),Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,14,30
Saturday,18-30,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,na,na,na,na,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,14,30
Saturday,Under 18,Male,Junior high school,2-5yr,Automobile,Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,Other,Slight Injury,18,35
Saturday,Unknown,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,2-5yrs, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,1,1,Turnover,Driver or rider,Male,18-30,2,Not a Pedestrian,Other,Serious Injury,16,0
Sunday,18-30,Male,Junior high school,Below 1yr,,Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Driver or rider,Male,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,16,5
Sunday,31-50,Male,Junior high school,2-5yr,Automobile,Owner,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,With Train,2,2,Other,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,16,5
Wednesday,31-50,Male,Elementary school,Below 1yr,Stationwagen,Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Serious Injury,6,10
Wednesday,Over 51,Male,Junior high school,Below 1yr,,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Serious Injury,6,10
Monday,31-50,Male,Junior high school,,,,, Church areas,,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,15,10
Monday,31-50,Male,,5-10yr,Automobile,Owner,,Office areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the right,Slight Injury,15,10
Monday,18-30,Male,Writing & reading,Below 1yr,Stationwagen,Owner,,Residential areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Male,Over 51,3,Unknown or other,Driving carelessly,Slight Injury,15,10
Thursday,Over 51,Male,Junior high school,Below 1yr,Automobile,Owner,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,19,5
Thursday,18-30,Male,Junior high school,1-2yr,Other,Governmental,5-10yrs,Other,other,Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,19,5
Sunday,18-30,Male,Elementary school,Above 10yr,Other,Owner,Unknown, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,Pedestrian,Female,31-50,3,Not a Pedestrian,Other,Serious Injury,15,35
Sunday,18-30,Male,Elementary school,Above 10yr,Automobile,Owner,Unknown,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Serious Injury,15,35
Tuesday,18-30,Male,Elementary school,Below 1yr,Lorry (41?100Q),Owner,Above 10yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Driving at high speed,Slight Injury,18,30
